"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US37097","Iredell County, North Carolina","161646","764","42120","1980","2727","907","2263","657","8543","929","9900","1053","10085","1153","7192","1263","1410","567","119526","1958"
"0500000US37101","Johnston County, North Carolina","174392","850","48866","2495","2696","816","2878","1004","10114","1664","13599","1393","9185","1499","9596","1826","798","457","125526","2392"
"0500000US37109","Lincoln County, North Carolina","77245","474","17388","1154","937","425","1262","700","4120","808","3984","868","3700","499","2461","665","924","779","59857","1073"
"0500000US37119","Mecklenburg County, North Carolina","971033","2294","274017","5435","21329","2034","16363","2189","54832","2531","53062","2396","52222","2145","58279","4040","17930","2412","697016","5464"
"0500000US37125","Moore County, North Carolina","90285","506","20741","1409","1706","582","1473","590","5314","769","4283","803","3681","563","3520","1254","764","476","69544","1496"
"0500000US37127","Nash County, North Carolina","90768","758","24942","1627","1041","705","973","489","4578","942","5345","1036","6809","1172","4880","1286","1316","622","65826","1385"
"0500000US37129","New Hanover County, North Carolina","210184","996","56251","2647","2449","944","2376","754","10187","1633","8949","1213","8908","1188","21591","2467","1791","834","153933","2613"
"0500000US37133","Onslow County, North Carolina","177141","1051","51354","3450","2448","945","2540","872","10093","1348","8185","1219","9474","1294","16663","3415","1951","760","125787","3521"
"0500000US37135","Orange County, North Carolina","137265","650","52433","2091","3224","767","1877","623","5661","1057","7133","1125","7502","1156","21840","2161","5196","1077","84832","1983"
"0500000US37147","Pitt County, North Carolina","168565","963","59194","2488","2087","950","2232","726","8529","1184","8713","1066","8179","1131","24670","2420","4784","1641","109371","2610"
"0500000US37151","Randolph County, North Carolina","137986","646","31920","1485","569","299","2119","756","7749","1163","7622","1232","8231","1009","5358","1060","272","202","106066","1653"
"0500000US37155","Robeson County, North Carolina","128953","712","34844","1299","1638","494","2931","643","7847","1103","5719","1080","8839","768","6839","1055","1031","337","94109","1253"
"0500000US37157","Rockingham County, North Carolina","89141","536","19524","1579","1281","807","1327","655","3757","1038","4799","792","3898","668","3602","1087","860","504","69617","1569"
"0500000US37159","Rowan County, North Carolina","133682","644","34984","1620","1555","508","1795","602","7834","1046","6932","1075","8012","748","8047","1379","809","416","98698","1784"
"0500000US37161","Rutherford County, North Carolina","64205","574","14289","1339","626","530","812","502","2545","910","3008","668","4302","1064","2250","870","746","636","49916","1256"
"0500000US37171","Surry County, North Carolina","70088","485","13090","1212","310","222","521","379","3844","715","2937","944","3037","525","2106","560","335","216","56998","1112"
"0500000US37179","Union County, North Carolina","211076","859","67225","1619","3564","804","3145","839","14556","1470","17141","1451","16067","963","10620","1377","2132","657","143851","1891"
"0500000US37183","Wake County, North Carolina","961800","2238","287082","5416","18878","1902","13972","1903","57558","3128","59865","2847","54668","2412","63777","4455","18364","2488","674718","5137"
"0500000US37191","Wayne County, North Carolina","118562","773","32153","1884","1337","655","1203","552","8950","1120","5848","930","5933","1032","6472","1330","2410","947","86409","1884"
