"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US06023","Humboldt County, California","129487","684","34248","1887","1537","577","1623","690","5766","1112","5908","1271","5477","645","12105","1757","1832","709","95239","1882"
"0500000US06025","Imperial County, California","168904","1250","53355","2207","3603","1154","2519","713","11448","1225","10494","1215","12873","1113","11358","2027","1060","624","115549","2052"
"0500000US06029","Kern County, California","822342","2036","262141","5139","12819","2102","16001","2412","58122","3073","56207","3302","58484","3020","54784","4287","5724","1389","560201","4929"
"0500000US06031","Kings County, California","145004","906","42961","1917","1862","761","2274","580","8894","1191","8664","1090","12526","1039","7732","1295","1009","617","102043","2105"
"0500000US06033","Lake County, California","62319","519","13418","1240","1239","596","166","192","3359","735","2760","893","2623","403","3064","872","207","217","48901","1277"
"0500000US06037","Los Angeles County, California","9651129","6972","2748844","15304","157938","5972","133024","5436","498595","8500","509212","8934","585577","7797","723783","10706","140715","6665","6902285","14059"
"0500000US06039","Madera County, California","145662","1101","40701","1668","1738","642","2072","750","10731","1171","9448","1282","9998","1100","5856","1236","858","571","104961","1839"
"0500000US06041","Marin County, California","252049","1023","63471","2053","6131","1095","3463","942","11067","1321","14418","1326","12104","1162","12349","1510","3939","945","188578","2008"
"0500000US06045","Mendocino County, California","84639","482","19104","1266","1395","585","1409","653","3920","924","4439","1104","3683","444","3502","1015","756","497","65535","1319"
