"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01069","Houston County, Alabama","104056","*****","100676","*****","69582","185","27622","364","427","219","1054","89","0","195","213","188","1778","406","0","195","1778","406","3380","*****","2256","585","140","144","16","31","0","195","0","195","818","601","150","119","102","98","48","60"
"0500000US01073","Jefferson County, Alabama","659521","*****","634967","*****","330573","732","279050","3682","817","490","8366","1352","323","328","1947","1969","13891","3440","1147","887","12744","3367","24554","*****","9933","2148","929","1038","982","860","0","195","0","195","12180","2555","530","472","273","291","257","326"
"0500000US01089","Madison County, Alabama","356967","*****","339755","*****","231900","169","86952","1487","2294","697","8383","1391","250","82","886","660","9090","2062","57","97","9033","2070","17212","*****","11788","1763","463","399","253","344","0","195","0","195","3949","1658","759","574","254","258","505","473"
"0500000US01097","Mobile County, Alabama","414836","*****","403255","*****","237276","538","147215","1256","3328","797","8269","659","20","33","817","687","6330","1401","41","69","6289","1403","11581","*****","6008","1641","786","849","0","195","0","195","0","195","3885","1725","902","802","354","437","548","698"
"0500000US02020","Anchorage Municipality, Alaska","298192","*****","271285","*****","174472","465","14891","1651","21923","2228","26187","2522","7669","230","768","707","25375","3597","565","806","24810","3423","26907","*****","10369","2226","1211","1006","1993","1217","955","1045","0","155","7167","2425","5212","1850","577","483","4635","1823"
"0500000US02170","Matanuska-Susitna Borough, Alaska","104365","*****","99382","*****","82792","507","773","580","5307","1321","1083","424","141","214","92","108","9194","1619","351","425","8843","1487","4983","*****","3522","671","246","352","148","137","0","155","0","155","233","193","834","606","139","233","695","535"
"0500000US04003","Cochise County, Arizona","125770","*****","81726","*****","69824","206","4829","639","1448","425","2783","286","434","204","45","78","2363","897","277","245","2086","838","44044","*****","40075","1280","248","300","427","413","0","204","0","204","1868","905","1426","715","288","223","1138","694"
"0500000US04005","Coconino County, Arizona","140908","*****","121422","*****","76816","351","1987","257","36111","1163","2485","610","163","238","192","315","3668","1277","129","152","3539","1281","19486","*****","14351","1617","179","310","899","701","185","297","0","204","2519","975","1353","835","355","300","998","710"
"0500000US04013","Maricopa County, Arizona","4242997","*****","2940578","*****","2373045","2688","221266","4757","66973","2876","165037","3855","9181","789","7080","2801","97996","7055","3323","1157","94673","6753","1302419","*****","854465","16110","9376","2064","15327","3443","3683","1206","627","397","364476","16723","54465","7520","29430","6236","25035","4607"
"0500000US04015","Mohave County, Arizona","205249","*****","172005","*****","159497","73","1511","509","4522","601","1983","724","231","217","92","113","4169","1144","0","204","4169","1144","33244","*****","27995","1960","103","184","348","299","46","78","0","204","3447","1831","1305","799","387","339","918","821"
"0500000US04017","Navajo County, Arizona","110026","*****","97696","*****","44981","589","648","442","47705","1031","897","77","0","204","385","589","3080","1098","0","204","3080","1098","12330","*****","5562","1560","107","183","1298","770","0","204","0","204","4151","1561","1212","530","297","306","915","481"
"0500000US04019","Pima County, Arizona","1016206","*****","642250","*****","532392","636","31762","1964","24232","1507","27121","1607","1082","455","1107","557","24554","3043","920","533","23634","3068","373956","*****","242216","9678","2582","1096","8438","2273","1592","851","468","426","93507","8567","25153","4582","9073","2493","16080","4230"
"0500000US04021","Pinal County, Arizona","418540","*****","295500","*****","241497","423","16976","1783","19155","1065","8189","399","1240","563","1031","1044","7412","1916","243","339","7169","1879","123040","*****","96074","4758","1703","1090","2641","1216","379","400","117","202","16906","3754","5220","1553","997","668","4223","1459"
"0500000US04027","Yuma County, Arizona","205631","*****","76472","*****","65374","236","3048","1050","1841","329","2459","316","172","272","140","203","3438","1193","106","140","3332","1174","129159","*****","47277","5171","648","443","1085","934","260","262","94","115","78052","5310","1743","946","522","374","1221","852"
"0500000US17031","Cook County, Illinois","5203499","*****","3884620","*****","2202751","1589","1211623","4930","4972","1218","367920","4580","949","385","9753","2503","86652","6536","6049","1487","80603","6450","1318879","*****","716708","20433","12140","2371","9536","2603","3571","1301","990","522","527663","21267","48271","4659","31345","4485","16926","2994"
"0500000US17043","DuPage County, Illinois","929368","*****","796715","*****","625989","872","44576","1645","510","285","106634","2196","367","297","892","874","17747","2764","1182","718","16565","2739","132653","*****","88094","6284","1342","958","550","552","636","432","114","139","34201","5782","7716","2654","4773","2164","2943","1696"
"0500000US17089","Kane County, Illinois","531715","*****","362619","*****","304740","924","29386","1180","533","598","21157","1093","0","185","604","762","6199","1751","352","384","5847","1769","169096","*****","69532","6470","543","364","1872","1204","163","196","33","56","90804","6536","6149","2101","4412","1881","1737","938"
"0500000US17091","Kankakee County, Illinois","110008","*****","98611","*****","78947","164","17149","541","394","113","1023","256","0","185","300","245","798","661","0","185","798","661","11397","*****","7971","1314","157","189","0","185","0","185","0","185","2499","1210","770","636","614","610","156","267"
"0500000US17097","Lake County, Illinois","703047","*****","552165","*****","437851","275","45119","2125","928","533","52069","1446","176","231","1098","959","14924","2577","776","703","14148","2646","150882","*****","92673","6682","1717","1112","278","413","503","459","134","215","51821","6496","3756","1480","2951","1278","805","508"
"0500000US17143","Peoria County, Illinois","185006","*****","176271","*****","129577","487","33722","1489","618","252","7607","422","0","185","393","487","4354","1561","128","158","4226","1541","8735","*****","5601","1258","179","235","0","185","0","185","0","185","1640","932","1315","795","467","416","848","709"
"0500000US17161","Rock Island County, Illinois","144784","*****","126450","*****","105019","185","13038","1011","482","172","3486","463","283","237","124","208","4018","1063","0","185","4018","1063","18334","*****","11641","2209","852","1120","296","268","0","185","0","185","2695","1506","2850","1334","2429","1299","421","424"
"0500000US17167","Sangamon County, Illinois","197499","*****","193080","*****","159476","69","25756","983","108","98","3533","424","60","103","317","476","3830","884","0","185","3830","884","4419","*****","2921","621","237","207","35","63","35","68","64","84","402","380","725","517","237","320","488","418"
"0500000US17197","Will County, Illinois","689529","*****","571967","*****","442182","676","75070","2734","544","288","37895","1558","414","685","873","707","14989","2735","318","243","14671","2723","117562","*****","63550","5704","1355","1047","1472","1671","413","358","101","90","46396","5985","4275","1474","2471","1171","1804","863"
"0500000US17201","Winnebago County, Illinois","285873","*****","250182","*****","199193","539","34679","1875","217","295","7155","811","0","185","644","613","8294","2054","0","185","8294","2054","35691","*****","27325","2286","1226","702","0","185","130","204","140","217","4876","1609","1994","1007","693","484","1301","908"
"0500000US18003","Allen County, Indiana","370404","*****","343208","*****","274995","197","41946","1969","227","237","14669","722","55","85","317","276","10999","2040","170","187","10829","2057","27196","*****","21778","1869","569","411","234","181","0","192","47","81","3781","1624","787","448","606","385","181","248"
"0500000US18039","Elkhart County, Indiana","203781","*****","172294","*****","152901","886","11251","1205","819","255","2149","406","230","226","777","877","4167","1223","94","156","4073","1246","31487","*****","28021","1906","0","192","221","282","0","192","130","224","2569","1765","546","461","339","340","207","314"
"0500000US18089","Lake County, Indiana","485846","*****","394964","*****","263201","1003","116213","1435","1043","343","6025","979","0","192","897","961","7585","1622","323","206","7262","1566","90882","*****","35855","4224","1010","669","488","460","119","144","95","113","47411","4325","5904","1631","4700","1647","1204","646"
