"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01069","Houston County, Alabama","104173","*****","100650","*****","70029","192","27418","521","309","184","801","156","93","151","23","41","1977","575","0","192","1977","575","3523","*****","2263","449","271","216","0","192","79","95","47","79","556","447","307","209","183","174","124","108"
"0500000US01073","Jefferson County, Alabama","660367","*****","635327","*****","333633","275","280720","2106","1179","578","10861","908","711","1120","1020","1134","7203","1903","45","74","7158","1898","25040","*****","11372","2462","1791","1174","81","122","0","192","0","192","10976","2578","820","577","598","465","222","229"
"0500000US01089","Madison County, Alabama","353089","*****","336174","*****","229734","363","84890","1882","1595","659","8881","1226","286","385","1034","671","9754","2269","52","69","9702","2270","16915","*****","13697","1308","294","302","160","196","86","124","58","91","1545","890","1075","864","949","845","126","188"
"0500000US01097","Mobile County, Alabama","415395","*****","403883","*****","238827","271","144931","2301","3332","939","8444","638","0","192","1673","1365","6676","2127","56","67","6620","2130","11512","*****","7964","1483","225","232","39","77","0","192","0","192","2295","1357","989","820","543","497","446","614"
"0500000US01101","Montgomery County, Alabama","226519","*****","218805","*****","81258","58","127698","752","273","181","4889","1185","84","134","157","178","4446","1341","296","406","4150","1301","7714","*****","5209","1339","507","468","0","192","41","82","16","33","1467","1219","474","383","438","376","36","50"
"0500000US02020","Anchorage Municipality, Alaska","298695","*****","271434","*****","175448","889","17373","1288","19090","2331","28285","2071","5135","1670","1725","1645","24378","3655","161","265","24217","3691","27261","*****","12577","2113","1012","767","376","332","821","815","421","535","7862","2336","4192","1741","1968","1343","2224","1303"
"0500000US02170","Matanuska-Susitna Borough, Alaska","101095","*****","96202","*****","80132","555","1233","308","4564","892","1383","425","291","134","303","391","8296","1185","248","417","8048","1138","4893","*****","3807","439","42","51","97","107","0","149","0","149","269","184","678","352","171","201","507","287"
"0500000US04003","Cochise County, Arizona","126427","*****","82596","*****","69934","1200","5595","689","918","315","2729","523","110","161","863","1198","2447","843","149","206","2298","827","43831","*****","36402","2058","217","261","212","176","0","201","84","145","4016","1681","2900","1216","187","189","2713","1189"
"0500000US04005","Coconino County, Arizona","139097","*****","119726","*****","76033","421","1316","654","36334","613","2187","585","183","218","249","396","3424","1062","84","163","3340","1066","19371","*****","12091","1573","456","355","1172","782","395","609","0","201","4449","1434","808","552","355","443","453","370"
"0500000US04013","Maricopa County, Arizona","4167947","*****","2898057","*****","2350280","1457","216064","3908","69397","2648","162955","4044","7389","883","3590","1258","88382","6822","2772","1098","85610","6680","1269890","*****","906893","16658","12375","3120","11074","2943","3772","1689","856","529","289266","15363","45654","4868","24197","4013","21457","3364"
"0500000US04015","Mohave County, Arizona","204737","*****","171626","*****","158047","923","2219","652","5440","420","2479","400","130","133","688","923","2623","769","0","201","2623","769","33111","*****","26754","2179","234","330","320","332","264","439","0","201","3959","1722","1580","842","1024","708","556","412"
"0500000US04017","Navajo County, Arizona","108277","*****","96124","*****","45266","84","875","569","47157","654","674","165","0","201","92","108","2060","936","0","201","2060","936","12153","*****","6534","1230","232","267","573","317","0","201","0","201","4189","1244","625","345","139","138","486","309"
"0500000US04019","Pima County, Arizona","1010025","*****","642650","*****","533024","491","33712","2041","24603","1619","28290","1491","1259","634","1052","672","20710","2955","298","180","20412","2926","367375","*****","243446","8952","2954","1520","12585","4217","1255","780","115","196","89260","9555","17760","2819","9263","1993","8497","2216"
"0500000US04021","Pinal County, Arizona","406584","*****","287583","*****","234617","438","17107","1585","18436","1985","6433","717","587","328","0","201","10403","2809","263","438","10140","2786","119001","*****","79746","6883","724","552","3165","2118","0","201","0","201","29109","6576","6257","1587","4110","1550","2147","1121"
"0500000US04025","Yavapai County, Arizona","222255","*****","190232","*****","178997","128","1015","442","2529","603","1954","554","31","61","109","183","5597","910","76","128","5521","908","32023","*****","25328","2682","67","113","1057","865","289","341","266","296","3799","2155","1217","835","426","447","791","775"
"0500000US04027","Yuma County, Arizona","204275","*****","77706","*****","66557","55","4103","760","2152","370","2064","570","198","311","85","111","2547","878","119","190","2428","889","126569","*****","86972","6044","409","316","1107","927","659","791","0","201","35609","5897","1813","814","861","514","952","594"
"0500000US05007","Benton County, Arkansas","249672","*****","208838","*****","185212","181","4698","710","2938","1005","8876","666","1003","190","198","194","5913","1286","0","190","5913","1286","40834","*****","34663","2100","0","190","183","176","0","190","0","190","4221","1671","1767","1058","809","534","958","907"
"0500000US05119","Pulaski County, Arkansas","392664","*****","369103","*****","209165","1438","142485","1105","1535","611","9016","889","141","180","1197","1467","5564","1422","719","699","4845","1335","23561","*****","17352","2368","939","824","8","17","248","294","0","190","4004","2250","1010","793","816","750","194","294"
"0500000US05143","Washington County, Arkansas","225477","*****","188599","*****","161648","375","7840","1000","1238","562","5454","949","5059","440","380","375","6980","1666","53","91","6927","1636","36878","*****","15276","4014","236","285","0","190","0","190","0","190","20244","4121","1122","690","1019","684","103","136"
"0500000US06001","Alameda County, California","1638215","*****","1268169","*****","529915","626","175498","3084","4657","643","470685","4371","14032","747","3995","1138","69387","4514","3135","927","66252","4684","370046","*****","171220","10399","5459","2278","5931","2515","3822","1317","492","305","153563","10574","29559","3933","13308","2503","16251","3027"
"0500000US06007","Butte County, California","225411","*****","189909","*****","164306","366","2581","858","2070","704","10483","1305","331","325","66","82","10072","1688","249","356","9823","1643","35502","*****","22225","2702","0","201","1084","829","76","82","0","201","9174","2606","2943","1035","1471","714","1472","788"
"0500000US06013","Contra Costa County, California","1126745","*****","841719","*****","505074","918","97762","2506","2537","730","180649","4209","6122","411","3624","1414","45951","4788","1484","796","44467","4850","285026","*****","134583","9113","2592","1007","3575","1965","2017","905","5","12","120700","9459","21554","3795","12891","3323","8663","2304"
"0500000US06115","Yuba County, California","74492","*****","53981","*****","41694","201","2375","758","300","271","5856","606","77","136","0","201","3679","930","0","201","3679","930","20511","*****","10345","2177","0","201","204","232","138","244","87","153","7168","2521","2569","1293","603","383","1966","1198"
