"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US01001","Autauga County, Alabama","53081","208","13438","528","526","144","948","234","3007","306","3211","307","3336","212","1667","351","743","232","39643","548"
"0500000US01003","Baldwin County, Alabama","196999","551","44265","1028","2728","388","2180","351","10234","697","10360","729","10763","611","6531","693","1469","356","152734","1032"
"0500000US01005","Barbour County, Alabama","25374","99","5317","193","300","95","326","123","1104","173","1356","147","1326","119","784","176","121","80","20057","195"
"0500000US01007","Bibb County, Alabama","21815","155","4626","280","141","92","226","141","974","179","1063","257","1327","127","790","203","105","114","17189","272"
"0500000US01009","Blount County, Alabama","55873","214","12428","462","486","148","547","129","3035","301","3096","299","3217","296","1815","349","232","102","43445","535"
"0500000US01011","Bullock County, Alabama","10057","80","2122","227","176","89","95","85","574","123","353","141","477","120","366","176","81","91","7935","228"
"0500000US01013","Butler County, Alabama","19590","100","4156","192","223","81","287","108","968","139","992","155","1084","113","545","152","57","35","15434","210"
"0500000US01015","Calhoun County, Alabama","111931","346","27798","746","1727","349","1473","265","5281","415","6220","398","5728","308","6452","574","917","297","84133","821"
"0500000US01017","Chambers County, Alabama","32683","199","7081","336","400","126","237","88","1427","211","1987","237","1525","143","1308","254","197","86","25602","380"
"0500000US01019","Cherokee County, Alabama","25021","102","5109","263","196","78","251","123","1223","178","1221","204","1411","143","740","169","67","41","19912","238"
"0500000US01021","Chilton County, Alabama","41996","194","9659","440","470","189","691","162","2116","265","2574","298","2320","236","1330","341","158","102","32337","454"
"0500000US01023","Choctaw County, Alabama","12751","67","2718","135","105","64","118","59","650","109","655","130","662","103","480","119","48","30","10033","128"
"0500000US01025","Clarke County, Alabama","23909","136","5232","245","362","127","150","85","1237","177","1323","166","1390","139","718","144","52","56","18677","269"
"0500000US01027","Clay County, Alabama","12961","87","2835","152","127","72","232","117","520","163","661","156","822","116","449","109","24","28","10126","163"
"0500000US01029","Cleburne County, Alabama","14447","113","3175","212","234","84","228","85","720","134","878","171","745","67","340","119","30","23","11272","178"
"0500000US01031","Coffee County, Alabama","49173","193","11864","388","537","151","742","166","2550","254","2789","240","3068","192","1817","228","361","138","37309","370"
"0500000US01033","Colbert County, Alabama","52622","190","11445","403","449","151","513","160","2807","345","2545","358","2815","202","1861","294","455","150","41177","417"
"0500000US01035","Conecuh County, Alabama","12274","98","2619","261","195","168","207","125","748","205","511","162","594","107","261","115","103","102","9655","244"
"0500000US01037","Coosa County, Alabama","10780","67","1899","192","35","48","91","53","422","109","520","128","475","89","330","138","26","22","8881","199"
"0500000US01039","Covington County, Alabama","36378","142","7867","280","531","152","539","120","1798","200","1920","194","1698","142","1187","164","194","75","28511","276"
"0500000US01041","Crenshaw County, Alabama","13384","73","3055","148","75","38","172","65","769","104","804","104","726","82","451","99","58","37","10329","148"
"0500000US01043","Cullman County, Alabama","78850","229","17023","507","1060","226","787","202","3625","317","4448","329","4109","243","2695","321","299","146","61827","536"
"0500000US01045","Dale County, Alabama","47490","192","11997","448","736","171","555","146","2557","303","2716","262","2589","199","2631","365","213","88","35493","462"
"0500000US01047","Dallas County, Alabama","38969","176","10463","417","528","152","671","172","2193","250","2259","267","2608","197","1883","343","321","125","28506","423"
"0500000US01049","DeKalb County, Alabama","68671","222","16508","408","661","152","1015","223","4080","404","4076","396","3890","295","2566","330","220","97","52163","425"
